token,first choice,second choice,third choice
wIQq6Fpd1baqYjHp,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Nathaniel Pearson
3hM8YcTSShEoMKyT,Nathaniel Pearson,Benjamin Carr,Vero Estrada-Galiñanes
580M6AkzVAPwltgr,Beau Gunderson,Gary Wolf,Marja Pirttivaara
R0lEVyythMgtZjtj,Gary Wolf,Beau Gunderson,Alexander (Sasha) Wait Zaranek
ZRtNEENdG5QWsPZX,Beau Gunderson,Gary Wolf,Marja Pirttivaara
mzGERsSAyYxnI0xM,Marja Pirttivaara,Vero Estrada-Galiñanes,Gary Wolf
FRHBPOoiJiHQgBZJ,Gary Wolf,Beau Gunderson,Alexander (Sasha) Wait Zaranek
nFIqP6GacSrgzJ1q,Benjamin Carr,Gary Wolf,Marja Pirttivaara
jQP6M4sthR7lroJR,Gary Wolf,Marja Pirttivaara,Vero Estrada-Galiñanes
3nCMEbWWCUUibsxH,Beau Gunderson,Marja Pirttivaara,Nathaniel Pearson
uMVPQ9tiezbJubBd,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Vero Estrada-Galiñanes
HVKkPiF0cFAdBMmg,Marja Pirttivaara,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
jMvDPQxlTapKD90v,Nathaniel Pearson,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
pmjeyMW2VXgPhENS,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
Vs9mP84GcEkPHztj,Vero Estrada-Galiñanes,Marja Pirttivaara,Beau Gunderson
cOgh8JiYU2EKXJA5,Alexander (Sasha) Wait Zaranek,Gary Wolf,Marja Pirttivaara
l34D9yV5JLADp0Sf,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson
bsQOuGdmS68MHah3,Marja Pirttivaara,Vero Estrada-Galiñanes,Nathaniel Pearson
Mzb7VZWpdx6Ker2y,Marja Pirttivaara,Gary Wolf,Vero Estrada-Galiñanes
d09Jtb2WGfwEOwAY,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara
VHb0Dq3uXtR6xtQO,Nathaniel Pearson,Beau Gunderson,Alexander (Sasha) Wait Zaranek
tAkIXtnKZAQslL1x,Vero Estrada-Galiñanes,Marja Pirttivaara,Gary Wolf
WQTCNj0aVk1x8aQX,Vero Estrada-Galiñanes,Beau Gunderson,Gary Wolf
oP3xCoviixUEGZtk,Benjamin Carr,Benjamin Carr,Benjamin Carr
SR5DYczJI1TGmxR3,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Gary Wolf
tMbIF30tsvvAQcXO,Marja Pirttivaara,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
D421Tgh6mKPR9qtO,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson,Marja Pirttivaara
tSnHizluzCLA3sFV,Gary Wolf,Marja Pirttivaara,Vero Estrada-Galiñanes
xnkn6UMPfR39au30,Benjamin Carr,Marja Pirttivaara,Beau Gunderson
Ch7NiT5Ieb3vnrkn,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson,Benjamin Carr
PGMxYR0uqnHec0HM,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson
AazqAs8pvVWYPPIs,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara
uJNxsHCV7CyV5hiO,Alexander (Sasha) Wait Zaranek,Benjamin Carr,Nathaniel Pearson
q9F8YXmAsirxZZak,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Beau Gunderson
6Z7UZIyof2llvHI5,Beau Gunderson,Vero Estrada-Galiñanes,Benjamin Carr
d4juT8Sy10tYyahh,Marja Pirttivaara,Vero Estrada-Galiñanes,Vero Estrada-Galiñanes
7MhS2Dnh43XXf8M5,Alexander (Sasha) Wait Zaranek,Benjamin Carr,Beau Gunderson
HyWtoQACAR3H8A94,Beau Gunderson,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara
yu4GKQfePA4Ykkzl,Marja Pirttivaara,Beau Gunderson,Alexander (Sasha) Wait Zaranek
ZMnWfWy20YjX8ikJ,Vero Estrada-Galiñanes,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
FEBUpUjTmIvvSP0A,Benjamin Carr,Beau Gunderson,Alexander (Sasha) Wait Zaranek
e9FWQURDOE86MbYI,Vero Estrada-Galiñanes,Marja Pirttivaara,Beau Gunderson
jMjo6XPo9PYDYnvO,Gary Wolf,Benjamin Carr,Marja Pirttivaara
4mCHEZIKfdMmmX4a,Marja Pirttivaara,Benjamin Carr,Vero Estrada-Galiñanes
VfZzl0DwqGajelxO,Alexander (Sasha) Wait Zaranek,Vero Estrada-Galiñanes,Marja Pirttivaara
ROT5K77TMGrN0AA0,Nathaniel Pearson,Marja Pirttivaara,Vero Estrada-Galiñanes
uX0cwUlZVKdhhwRe,Benjamin Carr,Beau Gunderson,Nathaniel Pearson
RmnyTyidtSW795TE,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek,Beau Gunderson
1Wl4ERv8sTQGezJn,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
8IK6pJQ932fv5Mvo,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek,Benjamin Carr
GrTiHdmtfUlpSntn,Alexander (Sasha) Wait Zaranek,Benjamin Carr,Beau Gunderson
EIvOgNY9SkvX7ojV,Nathaniel Pearson,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
gGptfG7xn8y0wk4h,Alexander (Sasha) Wait Zaranek,Alexander (Sasha) Wait Zaranek,Vero Estrada-Galiñanes
m0zoTQghYafX5Gcz,Beau Gunderson,Beau Gunderson,Beau Gunderson
AvXfnvNJwVHQFoSl,Marja Pirttivaara,Nathaniel Pearson,Beau Gunderson
OKt5ZQ6JgPKjWhTP,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Vero Estrada-Galiñanes
t0lzT6JrXypMHRiO,Gary Wolf,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara
eIahSaPVrmKCLN6I,Benjamin Carr,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
av7QWqFHz5ApL64w,Marja Pirttivaara,Gary Wolf,Beau Gunderson
cat7QjhlAO6nqAjT,Gary Wolf,Marja Pirttivaara,Benjamin Carr
oi4OFHRcRLvnzeXP,Benjamin Carr,Marja Pirttivaara,Vero Estrada-Galiñanes
UnnLvO0bUxrEo7DG,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Benjamin Carr
iqn0PV9XQSd6FTG5,Marja Pirttivaara,Marja Pirttivaara,Marja Pirttivaara
AQskCtRFC4xjg98d,Marja Pirttivaara,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
uxiHbyhP5Ig6QeMD,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Gary Wolf
09rWaYYQQbv1MCy0,Nathaniel Pearson,Vero Estrada-Galiñanes,Alexander (Sasha) Wait Zaranek
hi8HkRxg96nEW1Tc,Benjamin Carr,Gary Wolf,Marja Pirttivaara
wfQoXo3IKzf3dHHg,Marja Pirttivaara,Gary Wolf,Benjamin Carr
EKCiLWYbTJp0wQj3,Vero Estrada-Galiñanes,Benjamin Carr,Marja Pirttivaara
5IiDk2rlsi2uMp2u,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson,Benjamin Carr
ABgLYD57qFHySUho,Nathaniel Pearson,Alexander (Sasha) Wait Zaranek,Beau Gunderson
2WD8QjG1aV19rZ5r,Beau Gunderson,Gary Wolf,Vero Estrada-Galiñanes
gnj0YOIAnAPUrJBw,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Beau Gunderson
qkzDijiySvDXi9sq,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Beau Gunderson
JLyFl4AIiOdlbudv,Vero Estrada-Galiñanes,Marja Pirttivaara,Benjamin Carr
Mhetb3xTO51UWONU,Gary Wolf,Beau Gunderson,Nathaniel Pearson
hecIvFkMEwVMwP1h,Gary Wolf,Vero Estrada-Galiñanes,Benjamin Carr
gEhlYjbjyC7x5sxZ,Beau Gunderson,Gary Wolf,Benjamin Carr
QheobdEWnfHZpH6x,Nathaniel Pearson,Beau Gunderson,Benjamin Carr
uZq1FKEWlA4uEQ0N,Gary Wolf,Vero Estrada-Galiñanes,Benjamin Carr
XHVxso7izVEA8HPv,Beau Gunderson,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
4LEJSkjN9UstnTrb,Gary Wolf,Beau Gunderson,Vero Estrada-Galiñanes
i0RNzNoRFXISmRak,Marja Pirttivaara,Gary Wolf,Benjamin Carr
muYnWF5co8kv4hpt,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson
28YTbqifTULIm4EK,Gary Wolf,Alexander (Sasha) Wait Zaranek,Nathaniel Pearson
9Nf57t6Bjusk1w6v,Gary Wolf,Gary Wolf,Gary Wolf
jeXQYrXtCg5IzGoA,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Benjamin Carr
JaCnluVkz0l5WhDB,Beau Gunderson,Alexander (Sasha) Wait Zaranek,Benjamin Carr
3ujmLWJp3G3i781W,Gary Wolf,Beau Gunderson,Marja Pirttivaara
aID0D1AwXYZQSCiy,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Nathaniel Pearson
cxaOZxlOPWbKC3t1,Marja Pirttivaara,Beau Gunderson,Benjamin Carr
aUHzzKUNNgkUwKAX,Beau Gunderson,Vero Estrada-Galiñanes,Benjamin Carr
5JawAxhvmdfNRzME,Marja Pirttivaara,Benjamin Carr,Nathaniel Pearson
dDTIbNXJLgSdKX4W,Benjamin Carr,Marja Pirttivaara,Beau Gunderson
HtCL6VzAo9Ci9aRx,Gary Wolf,Benjamin Carr,Marja Pirttivaara
DuMgHlWPwz3ox021,Gary Wolf,Marja Pirttivaara,Benjamin Carr
4TXgq4EKFH6Andwl,Alexander (Sasha) Wait Zaranek,Marja Pirttivaara,Vero Estrada-Galiñanes
4TA3j7oMEhhu0qyB,Beau Gunderson,Gary Wolf,Vero Estrada-Galiñanes
c6ZZdfh1hBYer5Zd,Gary Wolf,Vero Estrada-Galiñanes,Marja Pirttivaara
ijWU6THUf8sl0U4A,Gary Wolf,Benjamin Carr,Marja Pirttivaara
s9Wqw2asyyMc9laZ,Vero Estrada-Galiñanes,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek
UCVKiyvmgOr7rdes,Gary Wolf,Beau Gunderson,Vero Estrada-Galiñanes
k22mMiF44NbjahnT,Marja Pirttivaara,Nathaniel Pearson,Gary Wolf
raFEvyEgC3eMgUMN,Marja Pirttivaara,Alexander (Sasha) Wait Zaranek,Benjamin Carr
nRLjShKb6n9RBKYU,Benjamin Carr,Beau Gunderson,Alexander (Sasha) Wait Zaranek
RpXMSk29mO9Sdw2d,Marja Pirttivaara,Vero Estrada-Galiñanes,Nathaniel Pearson
lB4y5TNTzknuXAUH,Marja Pirttivaara,Benjamin Carr,Vero Estrada-Galiñanes
otlyZeOiVRVmdYrP,Beau Gunderson,Marja Pirttivaara,Vero Estrada-Galiñanes
TU7Q8rrNg3IZPIGu,Vero Estrada-Galiñanes,Marja Pirttivaara,Vero Estrada-Galiñanes
NbiCb8Pp1zCueVvG,Marja Pirttivaara,Vero Estrada-Galiñanes,Benjamin Carr
MGWbG5bLaDVHqnnp,Alexander (Sasha) Wait Zaranek,Gary Wolf,Nathaniel Pearson
vWXtnfFsiXrb96YW,Alexander (Sasha) Wait Zaranek,Benjamin Carr,Marja Pirttivaara
kydbus4C52zuoQU6,Alexander (Sasha) Wait Zaranek,Beau Gunderson,Vero Estrada-Galiñanes
